product_name,product_price,Rate,Review,Summary,Sentiment
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,fair,the quality is good but the power of air is decent,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,awesome,the cooler is really fantastic and provides good air flow highly recommended,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,5,highly recommended,very good product,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,3,nice,very nice,positive
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",3999,4,worth the money,very good,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,great product,beautiful product good material and perfectly working,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,mind-blowing purchase,awesome,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,highly recommended,good,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,brilliant,wonderful product must buy,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,classy product,nice air cooler smart cool breeze producer,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,must buy!,awsm,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,fabulous!,nice product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,great cooler,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,super!,nice product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,great product,good,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,awesome,very nice product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,good product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,just wow!,nice product with the reasonable price,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,awesome,i like it,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific purchase,very goodd,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,excellent,good product,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,worth every penny,good product kawaleti,positive
